Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
PH 651,Nanomagnetism and Spintronics,3,0,0,4,Naveen Sisodia(I),,,,"P1,P2
(7/106)",,,,,,,
PH 691-IV,Special Topics in Physics: Advanced Condensed Matter Physics,3,0,0,4,Abhisek Samanta(I),,,,"E1,E2
(7/210)",,,,,,,BS
,,,,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,,,,
FP 602,Writing,1,0,3,4,Arnapurna Rath(I),,,,"H2
 (10/103)",,"F1,F2
 (7/205,7/201,7/103,7/104,7/105,7/106,7/107)",,,,,
HS 103,French Studies,3,1,0,4,TBD,,,,"I1,I2
 (7/105)","J1
 (7/102)",,,,,,HSS
HS 111,Urdu Script & Poetry,3,1,0,4,Mohd. Mubashshir Ahsan(I),,,,"P1,P2
 (7/107)","J1
 (7/107)",,,,,,HSS
HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashshir Ahsan(I),,,,"I1,I2
 (7/102)","J1
 (7/202)",,,,,,HSS
HS 152,Advance Japanese Learning,3,1,0,4,Sweta Mistry(I),,,,"N1,N2
 (7/110)","J2
 (7/205)",,,,,,HSS
HS 153,Japanese Language for Beginners,3,1,0,4,Sweta Mistry(I),,,,"M1,M2
 (7/201)","J1
 (7/205)",,,,,,HSS
HS 154,Mandarin for Beginners,3,0,0,4,"Kao(I),Hao-Tsung (William)(I)",,,,"L1,L2
(7/208)",,,,,,,HSS
HS 155,Mandarin for Beginners - II,3,0,0,4,"Kao(I),Hao-Tsung (William)(I)",,,,"N1,N2
(7/208)",,,,,,,HSS
HS 223,Sanskrit Literature,3,1,0,4,Mana Shah(I),,,,"I1,I2
 (7/103)","J1
 (7/203)",,,,,,HSS
DES 302,"Creativity, Design and Doing",3,0,0,4,Manasi Kanetkar(I),,,,"M1,M2
(7/104)",,,Course document,,HSS students can opt for the course as non-HSS. BTech students can opt for it as a HSS course. ,,
MS 492-VI,"Principles of Business Management
(Second Half of the Semester)",3,0,0,4,Abhijit Kothari(I),,,,"N1,N2
(7/101)",,,,,,,
HS 326,Harappan Civilization,3,0,0,4,V N Prabhakar(I),,,,"I1,I2
 (10/102)",,,Course Plan,,,,HSS
HS 421,Introduction to Linguistics,3,0,0,4,Nishaant Choksi(I),,,,"N1,N2
 (7/201)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/nishaant_choksi_iitgn_ac_in/EawLZaUxt8VJoyqxLJCW5dsBUNKqDxtgOeIY4Tx7E4mDBg,,,,HSS
HS 426,Creative Writing in Practice,2,0,2,4,Arka Chattopadhyay(I+L),,,,"M1,M2
 (7/204)",,"I2
(7/205)",https://drive.google.com/file/d/1WbJsQbhlG_dLUI8CMcSFHqjMbNlm8W9M/view?usp=sharing,,,,HSS
MS 491-VII,Special Topics in Management: Managing Sustainable Businesses,3,0,0,4,Anselm Schneider(I),,,,"I1,I2
(7/110)",,,,,,,
HS 491-VIII,"""Special Topics in HSS: Challenges in the Digital Society        """,3,0,0,4,Nuno Guimaraes(I),,,,"M1,M2
(11/101)",,,Course description (updated 2024-12-12) ,,,,
