Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
Additional courses CE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,11,,"G1,G2
 (7/108)",,"I2,M1
(CE Lab)",https://drive.google.com/file/d/1vzt8W6mDPvWGx4tkv1rqsEblxX1fuHpK/view?usp=sharing,,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Dhiman Basu(I),,15,,"L1,L2
 (13/124)",,,Course Link,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Vimal Mishra(I),,11,,"D1,D2
 (7/104)",,,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,34,,"G1,G2
 (7/207)",,,course_plan,,,,
CE 622,Structural Dynamics,3,0,0,4,Manish Kumar(I),,15,,"K1,K2
 (13/124)",,,Course Plan,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Mohapatra(I),,13,,"G1,G2
 (11/205)",,,Link,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,SR Gandhi(I),,12,,"E1,E2
 (11/205)",,,,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,11,,"J1,J2
 (7/106)",,,Course Plan,,,,
CE 635,Pavement Materials and Design,3,0,0,4,Sushobhan Sen(I),,10,,"P1,P2
 (13/124)",,,CE 635 2025-26 Sem I Syllabus.docx,,,,
CE 637,Infrastructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,17,,"M1,M2
(11/204)",,,,,,,
CE 638,Advanced Concrete Technology,3,0,0,4,Siva Chopeperla(I),,20,,"I1,I2
 (13/124)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/EehU8Avhy51CojioZd3913cB_n2otJvprzzpT4TjMVN7AA?e=b3Gxs7,,,,
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),3,0,0,4,S K Arora(I),,25,,"E1,E2
 (7/106)",,,https://drive.google.com/file/d/1s32i5UG8qlMvbWheEhvyNHAtS6UNzGMA/view?usp=sharing,,,,
CE 691-VIII,Special Topics in Civil Engineering: Administration of Contracts,3,0,0,4,Col. Kishore(I),,11,,"N1,N2
 (13/124)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional courses CL,,,,,,,,,,,,,,,,,
CL 324,Introduction to Polymer Science and Engineering,3,0,0,4,Pratyush Dayal(I),,5,,"I1,I2
 (7/205)",,,Course Plan,,,,
CL 328,Chemical Engineering Practice in Industry,1.5,0,0,2,"Nitin Padhiyar(I), Kaustubh Rane(I)",,,,"K2
(7/206)",,,cl328_course_plan,,,,
